# DO NOT REMOVE THIS FILE!!!
# Supported Device ID List Boot Agent
# Pattern Device ID
7716 1677
5916 1659
7D16 167D
7E16 167E
9D16 169D
F716 16F7
FD16 16FD
FE16 16FE
DD16 16DD
0016 1600
0116 1601
6816 1668
6916 1669
7816 1678
7916 1679
6A16 166A
6B16 166B
FF16 16FF
0F17 170F
9B16 169B
9316 1693
7F16 167F
7A16 167A
7216 1672
7B16 167B
7316 1673
9A16 169A
1217 1712
1317 1713
5A16 165A
7416 1674
9816 1698
8416 1684
8116 1681
8016 1680
8816 1688
5B16 165B
9216 1692
9916 1699
A016 16A0
9416 1694
9016 1690
9116 1691
5516 1655
6516 1665
5616 1656
5716 1657
5F16 165F
5C16 165C
B116 16B1
B516 16B5
B016 16B0
B416 16B4
B216 16B2
B616 16B6
8216 1682
8616 1686
B716 16B7
B316 16B3
8716 1687
4116 1641
4216 1642
4316 1643
8316 1683
F316 16F3
