# DO NOT REMOVE THIS FILE!!!
# Supported Device ID List Boot Agent CL
# Pattern Device ID
4A10 104A
4B10 104B
4C10 104C
C410 10C4
C510 10C5
4D10 104D
4910 1049
0115 1501
4C29 294C
BF10 10BF
F510 10F5
CB10 10CB
BD10 10BD
C010 10C0
C310 10C3
C210 10C2
CC10 10CC
CD10 10CD
CE10 10CE
E510 10E5
DE10 10DE
DF10 10DF
2515 1525
EA10 10EA
EB10 10EB
EF10 10EF
F010 10F0
0215 1502
0315 1503
3A15 153A
3B15 153B
5A15 155A
5915 1559
A015 15A0
A115 15A1
A215 15A2
A315 15A3
6F15 156F
7015 1570
B715 15B7
B815 15B8
B915 15B9
D715 15D7
D815 15D8
E315 15E3
D615 15D6
530D 0D53
550D 0D55
BD15 15BD
BE15 15BE
BB15 15BB
BC15 15BC
DF15 15DF
E015 15E0
E115 15E1
E215 15E2
4E0D 0D4E
4F0D 0D4F
4C0D 0D4C
4D0D 0D4D
FB15 15FB
FC15 15FC
F915 15F9
FA15 15FA
F415 15F4
