# DO NOT REMOVE THIS FILE!!!
# Supported Device ID List Boot Agent GE
# Pattern Device ID
0810 1008
0910 1009
0C10 100C
0D10 100D
0E10 100E
1510 1015
1710 1017
1610 1016
1E10 101E
0F10 100F
1110 1011
1010 1010
1210 1012
1D10 101D
1310 1013
1810 1018
1910 1019
1A10 101A
2610 1026
2710 1027
2810 1028
7510 1075
7610 1076
7C10 107C
7710 1077
7910 1079
8A10 108A
7A10 107A
7B10 107B
B510 10B5
8B10 108B
8C10 108C
9A10 109A
5E10 105E
5F10 105F
6010 1060
D910 10D9
DA10 10DA
A410 10A4
BC10 10BC
A510 10A5
D510 10D5
7D10 107D
7E10 107E
7F10 107F
B910 10B9
9610 1096
9710 1097
9810 1098
BA10 10BA
BB10 10BB
A710 10A7
A910 10A9
D610 10D6
E210 10E2
D310 10D3
F610 10F6
0C15 150C
C910 10C9
E610 10E6
E710 10E7
E810 10E8
0A15 150A
1815 1518
0D15 150D
2615 1526
0E15 150E
0F15 150F
1015 1510
1115 1511
1615 1516
2715 1527
2115 1521
2215 1522
2315 1523
2415 1524
401F 1F40
411F 1F41
451F 1F45
3315 1533
3615 1536
3715 1537
3815 1538
7B15 157B
7C15 157C
3915 1539
3804 0438
3A04 043A
3C04 043C
4004 0440
