# DO NOT REMOVE THIS FILE!!!
# Supported Device ID List Boot Agent XE
# Pattern Device ID
B610 10B6
C610 10C6
C710 10C7
D710 10D7
C810 10C8
DD10 10DD
EC10 10EC
F410 10F4
F110 10F1
E110 10E1
DB10 10DB
0B15 150B
D810 10D8
2915 1529
2A15 152A
4D15 154D
4A15 154A
5815 1558
5715 1557
FB10 10FB
F710 10F7
0715 1507
FC10 10FC
1415 1514
F910 10F9
F810 10F8
1715 1517
1C15 151C
2815 1528
C2F0 F0C2
6015 1560
6215 1562
6315 1563
D115 15D1
AB15 15AB
AA15 15AA
AC15 15AC
AE15 15AE
AD15 15AD
B015 15B0
C215 15C2
C315 15C3
C415 15C4
CE15 15CE
E415 15E4
C815 15C8
E515 15E5
